from,to,dist
Barcelona,Vizcaya,434.51105682097733
Barcelona,Zamora,654.7889416474045
Barcelona,Zaragoza,275.1323220892038
Barcelona,Álava,406.1781162022078
Barcelona,Ávila,598.5082522885034
Burgos,A Coruña,410.21711891709754
Burgos,Albacete,400.0754824549232
Burgos,Alicante/Alacant,491.34244145971945
Burgos,Almería,576.0197126981884
Burgos,Asturias,229.71058164091238
Burgos,Badajoz,451.97511546450363
Burgos,Barcelona,469.55231972645606
Burgos,Burgos,0.0
Burgos,Cantabria,117.22535394357605
Burgos,Castellón/Castelló,367.3318151283765
Burgos,Ceuta,722.5617058318342
Burgos,Ciudad Real,370.67354502309075
Burgos,Cuenca,281.87302237245945
Burgos,Cáceres,340.4687520622803
Burgos,Cádiz,654.3373987061241
Burgos,Córdoba,492.057028474729
Burgos,Girona,524.464516705443
Burgos,Granada,563.6911439744301
Burgos,Guadalajara,175.4834171951545
Burgos,Guipúzcoa,153.3359397174298
Burgos,Huelva,581.3000163449938
Burgos,Huesca,294.0931982248497
Burgos,Illes Balears,620.7851404711256
Burgos,Jaén,475.12432431050104
Burgos,La Rioja,81.3970414147037
Burgos,León,183.09523676526652
Burgos,Lleida,383.0154054021804
Burgos,Lugo,326.92859642953283
Burgos,Madrid,189.50235884251163
Burgos,Melilla,775.55051214488
Burgos,Murcia,511.49922075132173
Burgos,Málaga,613.8814362453285
Burgos,Navarra,160.75284589399553
Burgos,Ourense,340.4563142602535
Burgos,Palencia,77.96128958786805
Burgos,Pontevedra,409.3992478605222
Burgos,Salamanca,254.30096637069772
Burgos,Segovia,122.65955281084103
Burgos,Sevilla,568.1753529104581
Burgos,Soria,109.7246540716967
Burgos,Tarragona,398.17547548677646
Burgos,Teruel,286.93198441216026
Burgos,Toledo,267.6499440733356
Burgos,Valencia/València,417.5099806117967
Burgos,Valladolid,121.24389598711814
Burgos,Vizcaya,130.7257585814844
Burgos,Zamora,195.54788468308382
Burgos,Zaragoza,206.87543891695336
Burgos,Álava,94.82530805167131
Burgos,Ávila,213.84330921353964
Cantabria,A Coruña,367.1358545516816
Cantabria,Albacete,516.5184877438181
Cantabria,Alicante/Alacant,602.7758443693765
Cantabria,Almería,693.0699828605544
Cantabria,Asturias,164.2510312198871
Cantabria,Badajoz,543.2507261772165
Cantabria,Barcelona,520.932230111752
Cantabria,Burgos,117.22535394357605
Cantabria,Cantabria,0.0
Cantabria,Castellón/Castelló,465.55860135384864
Cantabria,Ceuta,829.2673436242562
Cantabria,Ciudad Real,484.33098509664165
Cantabria,Cuenca,397.66945987218924
Cantabria,Cáceres,422.02013915797977
Cantabria,Cádiz,757.4378403345885
Cantabria,Córdoba,599.9294624254575
Cantabria,Girona,562.8748879069385
Cantabria,Granada,678.694053333134
Cantabria,Guadalajara,291.33205843904415
Cantabria,Guipúzcoa,144.21924539674043
Cantabria,Huelva,671.9682743534918
Cantabria,Huesca,342.98188408715123
Cantabria,Illes Balears,701.6096561969264
Cantabria,Jaén,590.122299728649
Cantabria,La Rioja,149.75363010821587
Cantabria,León,171.57062069854595
Cantabria,Lleida,434.49627667782613
Cantabria,Lugo,284.5952261364657
Cantabria,Madrid,303.7631724142283
Cantabria,Melilla,891.3838243030291
Cantabria,Murcia,627.5334227773585
Cantabria,Málaga,723.4185744906725
Cantabria,Navarra,190.71677583213437
Cantabria,Ourense,330.23604195763954
Cantabria,Palencia,117.19068609062401
Cantabria,Pontevedra,390.371021037517
Cantabria,Salamanca,321.3536925675012
Cantabria,Segovia,230.93274323658216
Cantabria,Sevilla,669.2432753278945
Cantabria,Soria,212.699698008347
Cantabria,Tarragona,467.9724085216891
Cantabria,Teruel,384.3975548022655
Cantabria,Toledo,376.49375472527186
Cantabria,Valencia/València,525.9884894550094
Cantabria,Valladolid,194.04228360245273
Cantabria,Vizcaya,91.98651114926554
Cantabria,Zamora,232.250472174252
Cantabria,Zaragoza,290.2365842037063
Cantabria,Álava,117.20078465390728
Cantabria,Ávila,306.01693066697214
Castellón/Castelló,A Coruña,762.2017055377144
Castellón/Castelló,Albacete,202.55698859255514
Castellón/Castelló,Alicante/Alacant,179.98545605118463
Castellón/Castelló,Almería,384.95555266957047
Castellón/Castelló,Asturias,596.5017050070593
Castellón/Castelló,Badajoz,536.1900765290505
Castellón/Castelló,Barcelona,253.7468210014299
Castellón/Castelló,Burgos,367.3318151283765
Castellón/Castelló,Cantabria,465.55860135384864
Castellón/Castelló,Castellón/Castelló,0.0
Castellón/Castelló,Ceuta,651.5457433406593
Castellón/Castelló,Ciudad Real,334.97344166484174
Castellón/Castelló,Cuenca,173.3640526848752
Castellón/Castelló,Cáceres,502.46999548359366
Castellón/Castelló,Cádiz,621.8904011453657
Castellón/Castelló,Córdoba,463.3335735624285
Castellón/Castelló,Girona,332.58424245196153
Castellón/Castelló,Granada,431.87802655715126
Castellón/Castelló,Guadalajara,224.20882305819012
Castellón/Castelló,Guipúzcoa,371.24470362378884
Castellón/Castelló,Huelva,634.7600537800414
Castellón/Castelló,Huesca,224.0726095427275
Castellón/Castelló,Illes Balears,273.69000349186916
Castellón/Castelló,Jaén,370.59030293473523
Castellón/Castelló,La Rioja,316.28990193098355
Castellón/Castelló,León,536.239874245198
Castellón/Castelló,Lleida,218.64969645764893
Castellón/Castelló,Lugo,682.5489442831728
Castellón/Castelló,Madrid,298.8956171037684
Castellón/Castelló,Melilla,590.9972524610816
Castellón/Castelló,Murcia,258.6922182472175
Castellón/Castelló,Málaga,537.9405823539207
Castellón/Castelló,Navarra,310.84572656253687
Castellón/Castelló,Ourense,670.6717360249255
Castellón/Castelló,Palencia,434.92768191209774
Castellón/Castelló,Pontevedra,741.497750934138
Castellón/Castelló,Salamanca,491.8877146500899
Castellón/Castelló,Segovia,343.41876412403906
Castellón/Castelló,Sevilla,567.4943621013706
Castellón/Castelló,Soria,257.8321851681986
Castellón/Castelló,Tarragona,150.33080798075778
Castellón/Castelló,Teruel,81.20646095644467
Castellón/Castelló,Toledo,346.1029232259045
Castellón/Castelló,Valencia/València,99.64120496059232
Castellón/Castelló,Valladolid,422.3903309777911
Castellón/Castelló,Vizcaya,408.8962965544252
Castellón/Castelló,Zamora,506.1537703327574
Castellón/Castelló,Zaragoza,180.8219694892294
Castellón/Castelló,Álava,356.62305404392043
Castellón/Castelló,Ávila,407.86376694667877
Ceuta,A Coruña,849.5022207531235
Ceuta,Albacete,449.1176343560871
Ceuta,Alicante/Alacant,522.8157108652301
Ceuta,Almería,294.4765811283764
Ceuta,Asturias,832.5532464540128
Ceuta,Badajoz,318.8759490220669
Ceuta,Barcelona,905.1673702947505
Ceuta,Burgos,722.5617058318342
Ceuta,Cantabria,829.2673436242562
Ceuta,Castellón/Castelló,651.5457433406593
Ceuta,Ceuta,0.0
Ceuta,Ciudad Real,363.3954650581019
Ceuta,Cuenca,525.2860855924328
Ceuta,Cáceres,443.75040869493006
Ceuta,Cádiz,86.59408443985033
Ceuta,Córdoba,230.62999299365237
Ceuta,Girona,983.9118251442341
Ceuta,Granada,222.44155516514834
Ceuta,Guadalajara,593.3495831794813
Ceuta,Guipúzcoa,850.7634045337476
Ceuta,Huelva,233.72728137950037
Ceuta,Huesca,833.2281468547216
Ceuta,Illes Balears,834.6183195021131
Ceuta,Jaén,284.72138302407416
Ceuta,La Rioja,754.4162428157942
Ceuta,León,739.7927571526417
Ceuta,Lleida,862.6924639686661
Ceuta,Lugo,817.4342653030882
Ceuta,Madrid,536.86617127944
Ceuta,Melilla,224.9476382829372
Ceuta,Murcia,424.94314534805955
Ceuta,Málaga,116.3439868034899
Ceuta,Navarra,817.4125759877357
Ceuta,Ourense,735.2454429182588
Ceuta,Palencia,717.4182493282867
Ceuta,Pontevedra,773.8968753699056
Ceuta,Salamanca,548.8512497115981
Ceuta,Segovia,600.4869607110762
Ceuta,Sevilla,172.9941661290282
Ceuta,Soria,687.4047286241243
Ceuta,Tarragona,801.596144028207
Ceuta,Teruel,660.3809288065418
Ceuta,Toledo,454.9157220295224
Ceuta,Valencia/València,565.642767354965
Ceuta,Valladolid,642.1843221039052
Ceuta,Vizcaya,848.5352834435166
Ceuta,Zamora,651.3282114679544
Ceuta,Zaragoza,721.3971749268741
Ceuta,Álava,797.6970621776808
Ceuta,Ávila,527.9640947280358
Ciudad Real,A Coruña,612.1663325475693
Ciudad Real,Albacete,161.21838797046928
Ciudad Real,Alicante/Alacant,292.04452861612907
Ciudad Real,Almería,229.71590759584936
Ciudad Real,Asturias,527.0449601683271
Ciudad Real,Badajoz,207.99872809514568
Ciudad Real,Barcelona,580.0134759902687
Ciudad Real,Burgos,370.67354502309075
Ciudad Real,Cantabria,484.33098509664165
Ciudad Real,Castellón/Castelló,334.97344166484174
Ciudad Real,Ceuta,363.3954650581019
Ciudad Real,Ciudad Real,0.0
Ciudad Real,Cuenca,174.5284981255902
Ciudad Real,Cáceres,223.8039053439162
Ciudad Real,Cádiz,309.7288057805858
Ciudad Real,Córdoba,139.8546498792737
Ciudad Real,Girona,657.9170410852685
Ciudad Real,Granada,195.5905239673282
Ciudad Real,Guadalajara,229.95736442685538
Ciudad Real,Guipúzcoa,488.98928891744515
Ciudad Real,Huelva,299.9214173530312
Ciudad Real,Huesca,479.50461589626934
Ciudad Real,Illes Balears,581.762051002775
Ciudad Real,Jaén,108.01165174645014
Ciudad Real,La Rioja,393.1176559005777
Ciudad Real,León,436.42973750385875
Ciudad Real,Lleida,522.669790862499
Ciudad Real,Lugo,553.5610705689553
Ciudad Real,Madrid,181.17286167545794
Ciudad Real,Melilla,409.77590822865676
Ciudad Real,Murcia,236.95078100833314
Ciudad Real,Málaga,249.1179478644301
Ciudad Real,Navarra,454.048362666646
Ciudad Real,Ourense,497.465487336096
Ciudad Real,Palencia,383.0189987633987
Ciudad Real,Pontevedra,558.351232905159
Ciudad Real,Salamanca,280.39881569752555
Ciudad Real,Segovia,254.32032713578593
Ciudad Real,Sevilla,239.82840701530304
Ciudad Real,Soria,324.3873109667565
Ciudad Real,Tarragona,474.7478370147064
Ciudad Real,Teruel,317.4865204393312
Ciudad Real,Toledo,116.27149508498904
Ciudad Real,Valencia/València,281.7652323720272
Ciudad Real,Valladolid,316.7660279432135
Ciudad Real,Vizcaya,490.836861389887
Ciudad Real,Zamora,359.3495887434705
Ciudad Real,Zaragoza,362.3009361928298
Ciudad Real,Álava,437.8081657778431
Ciudad Real,Ávila,216.60125919741927
Cuenca,A Coruña,629.6636223930277
Cuenca,Albacete,119.6079261352203
Cuenca,Alicante/Alacant,218.24071018148535
Cuenca,Almería,310.2754360453701
Cuenca,Asturias,491.80502392802555
Cuenca,Badajoz,365.6857362443345
Cuenca,Barcelona,407.3571967973148
Cuenca,Burgos,281.87302237245945
Cuenca,Cantabria,397.66945987218924
Cuenca,Castellón/Castelló,173.3640526848752
Cuenca,Ceuta,525.2860855924328
Cuenca,Ciudad Real,174.5284981255902
Cuenca,Cuenca,0.0
Cuenca,Cáceres,330.16701314652033
Cuenca,Cádiz,480.45087598716066
Cuenca,Córdoba,312.64126813405755
Cuenca,Girona,484.6400248817745
Cuenca,Granada,323.2373435762481
Cuenca,Guadalajara,106.42387368306544
Cuenca,Guipúzcoa,357.24784690305995
Cuenca,Huelva,471.5028327594588
Cuenca,Huesca,308.3870600319375
